lng,lat
-0.129834,51.527665
-0.166084,51.551168
-0.086339,51.550704
-0.104654,51.564669
-0.088479,51.527178
-0.107934,51.562115
-0.090116,51.536287
-0.126030,51.543071
-0.102259,51.563282
-0.111465,51.532586
-0.116002,51.555410
-0.090301,51.555984
-0.123398,51.568478
-0.116633,51.536626
-0.133920,51.565228
-0.098217,51.539116
-0.087488,51.523295
-0.109428,51.550448
-0.089946,51.540331
-0.100893,51.537181
-0.102757,51.540899
-0.112878,51.557698
-0.090393,51.536561
-0.116985,51.556055
-0.098576,51.558186
-0.089468,51.527644
-0.117894,51.554991
-0.094380,51.541212
-0.108528,51.523456
-0.115225,51.560254
-0.091648,51.537571
-0.098541,51.534805
-0.132397,51.567183
-0.116002,51.555410
-0.118256,51.556705
-0.103390,51.563840
-0.103027,51.541353
-0.115084,51.560161
-0.102965,51.563653
-0.116622,51.536896
-0.138590,51.567461
-0.108833,51.526519
-0.140730,51.564527
-0.103542,51.546307
-0.113480,51.543140
-0.087097,51.549817
-0.114577,51.527061
-0.107504,51.544662
-0.115725,51.555136
-0.130776,51.550431
-0.087716,51.524738
-0.107894,51.549165
-0.111711,51.540593
-0.088391,51.549928
-0.111845,51.561728
-0.083800,51.545896
-0.094373,51.541392
-0.117992,51.545640
-0.109194,51.531740
-0.105115,51.522322
-0.102567,51.545482
-0.120848,51.556837
-0.126955,51.562689
-0.097174,51.539909
-0.117133,51.555968
-0.126119,51.551436
-0.105615,51.555423
-0.136500,51.562122
-0.098229,51.556113
-0.121472,51.566199
-0.098004,51.523466
-0.120212,51.554758
-0.098129,51.530842
-0.099703,51.538061
-0.087834,51.525369
-0.103835,51.535790
-0.089639,51.527017
-0.094037,51.528707
-0.108821,51.551158
-0.134634,51.565420
-0.109369,51.527517
-0.103284,51.545583
-0.087237,51.546492
-0.121341,51.530856
-0.115861,51.555318
-0.096587,51.540169
-0.120473,51.530932
-0.100601,51.537267
-0.111225,51.559290
-0.109790,51.527793
-0.118692,51.563636
-0.114533,51.559523
-0.098440,51.523383
-0.092335,51.538391
-0.089835,51.536103
-0.109849,51.550725
-0.104749,51.531129
-0.099024,51.530137
-0.095152,51.529625
-0.106267,51.532772
-0.105646,51.533841
-0.112464,51.557242
-0.116709,51.569719
-0.104437,51.535171
-0.108977,51.526521
-0.117416,51.542124
-0.138118,51.557831
-0.102892,51.537663
-0.138447,51.556847
-0.120543,51.571220
-0.125076,51.552228
-0.111674,51.551923
-0.105932,51.519997
-0.100882,51.530527
-0.115084,51.560161
-0.102327,51.520029
-0.113099,51.531443
-0.114629,51.529310
-0.110625,51.525019
-0.094646,51.524491
-0.109531,51.541008
-0.116474,51.561443
-0.090578,51.525234
-0.097683,51.541536
-0.088482,51.527088
-0.115084,51.560161
-0.119080,51.533248
-0.132785,51.564761
-0.092136,51.543154
-0.117416,51.542124
-0.105833,51.564059
-0.098026,51.529851
-0.107375,51.544300
-0.101451,51.530716
-0.108172,51.566794
-0.110321,51.528881
-0.103831,51.535880
-0.091921,51.537935
-0.089158,51.541937
-0.093334,51.524829
-0.092609,51.542173
-0.116989,51.555965
-0.107597,51.563278
-0.095700,51.540694
-0.123446,51.553281
-0.090532,51.543578
-0.138447,51.556847
-0.101812,51.539355
-0.122379,51.533661
-0.130500,51.564185
-0.118596,51.530992
-0.098833,51.534720
-0.106256,51.533042
-0.101112,51.528462
-0.096982,51.541075
-0.111374,51.555695
-0.140793,51.562999
-0.138303,51.556845
-0.104483,51.523661
-0.088900,51.527455
-0.105097,51.564407
-0.128367,51.563431
-0.122645,51.530697
-0.122057,51.555507
-0.110162,51.553608
-0.095810,51.524240
-0.238490,51.506416
-0.232382,51.500389
-0.217523,51.504571
-0.239095,51.509393
-0.239593,51.500228
-0.229144,51.520753
-0.202569,51.485458
-0.241654,51.499090
-0.239210,51.506427
-0.219987,51.515309
-0.214187,51.494089
-0.210296,51.494119
-0.188287,51.478764
-0.203008,51.485285
-0.199038,51.472725
-0.229518,51.492523
-0.238202,51.506412
-0.234219,51.516244
-0.228724,51.516700
-0.216977,51.477945
-0.226543,51.502369
-0.238023,51.499845
-0.227941,51.518307
-0.223520,51.491173
-0.249251,51.515120
